ind type/C     gas/C g1 g2 wsci wche lsci lche asci ache ths tht th6 th7 th8 th0 th1 dd mts/C mss/C ms/C cu1 cu2 cd1 cd2 su1 su2 sd1 sd2 eu1 eu2 ed1 ed2 t1 t2 n1 n2 ch st mt
16  th1        ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 0.5 35 Aluminium Aluminium Lead 739.634 1380.02 4905.44 2360.07 807.613 3328.15 1632.23 2741 0.523361 1.6726 1.39998 1.57823 215.492 128.349 1030.77 716.446 0.853699     	13.119 8.354
17  th1        ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 724.356 1379.61 4856.71 2304.09 800.4 3314.26 1633.21 2746.04 0.519406 1.66582 1.39389 1.56568 184.905 116.514 1039.35 724.287 0.861235     	12.884 8.44
18  th1        ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 2 35 Aluminium Aluminium Lead 692.524 1337.87 4665.4 2201.89 784.9 3301.28 1632.83 2739.35 0.501211 1.6556 1.39798 1.57467 219.895 142.615 1038 720.534 0.871866          	13.097 8.488
19  material   ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 724.356 1379.61 4856.71 2304.09 800.4 3314.26 1633.21 2746.04 0.519406 1.66582 1.39389 1.56568 184.905 116.514 1039.35 724.287 0.861235     	12.884 8.44
20  material   ethane    2 2 90 90 300 300 13 20 5 10 0.1 0.1 8 5 1 35 Aluminium Aluminium Tungsten 805.612 1757.19 4879.06 2594.13 828.881 3439.54 1680.09 2839.53 0.533545 1.74141 1.40989 1.61037 228.223 157.346 1025.92 714.443 0.874095	13.011 8.567
21  material   ethane    2 2 90 90 300 300 13 20 5 8 0.1 0.1 8 5 1 35 Aluminium Aluminium Tungsten 804.626 1784.4 4880.77 2587.58 846.73 3437.46 1686.46 2835.48 0.5352 1.72743 1.39532 1.61497 186.905 113.514 1030.45 717.614 0.852646	12.991 8.493
22  material   ethane    2 2 90 90 300 300 13 20 5 7 0.1 0.1 8 6 1 35 Aluminium Aluminium Tungsten 766.885 1728.37 4679.5 2500.89 802.137 3402.3 1620.03 2813.88 0.516439 1.7013 1.3595 1.59106 206.741 124.946 1026.66 713.984 0.862367	13.024 8.133
23  material   ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 1 35 Steel Steel Lead 687.82 1452.9 4286.58 2189.35 770.912 3350.1 1529.2 2732.59 0.489997 1.69286 1.32137 1.54965 196.476 122.814 1042.97 725.792 0.860858               	12.915 7.513
24  material   ethane    2 2 90 90 300 300 13 20 5 7 0.1 0.1 8 6 1 35 Steel Steel Tungsten 694.524 1623.01 4054.23 2265.5 755.842 3371.03 1508.27 2724.87 0.468287 1.67117 1.30053 1.5195 171.91 101.033 1022.77 713.66 0.859676			12.657 7.478
25  material   ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 1 35 Steel Steel Tungsten 647.984 1523.57 3803.44 2132.25 731.99 3323.55 1413.9 2674.41 0.442603 1.64035 1.23219 1.49132 139.781 95.3313 1019.57 711.395 0.849514            12.657 7.374
26  material   ethane    2 2 90 90 300 300 13 20 5 6 0.1 0.1 8 7 1 35 Steel Steel Tungsten 666.627 1567.56 3938.35 2188.5 751.007 3335.48 1450.85 2715.29 0.453553 1.64293 1.25502 1.50506 122.029 75.3358 1027.39 716.878 0.864257			12.663 7.379
27  other      ethane    0 0 90 90 300 300 10 16.5 5 5 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 717.475 1386.05 4870.61 2276.27 787.943 3304.3 1573.91 2720.43 0.508801 1.63808 1.30868 1.54046 164.937 107.708 1036.04 719.196 0.875661  	13.142 8.538
28  other      ethane    0 0 90 90 300 300 10 16.5 5 5 5 1 4 8 1 35 Aluminium Aluminium Lead 731.519 1407.86 5008.14 2309.37 797.467 3319.87 1658.12 2761.87 0.520959 1.6537 1.38144 1.5619 204.657 133.079 1042.57 724.898 0.85736           13.218 8.61
29  other      ethane    0 0 90 90 300 300 10 16.5 4 4 5 1 4 8 2 35 Aluminium Aluminium Lead 699.771 1374.26 4886.71 2222.22 792.963 3296.95 1666.72 2761.26 0.524534 1.64509 1.37998 1.56543 226.709 164.319 1036.41 721.353 0.871025        13.091 8.667
30  other      ethane    0 0 90 90 300 300 10 16.5 4 4 5 1 6 8 1 35 Aluminium Aluminium Lead 737.102 1409.59 5111.47 2354.38 794.136 3318.58 1645.02 2755.17 0.532417 1.66131 1.37482 1.55953 225.924 131.051 1040.71 721.874 0.864523        13.151 8.508
31  other      ethane    0 0 90 90 300 300 10 16.5 4 4 5 1 4 11 1 35 Aluminium Aluminium Lead 684.007 1291.29 4719.79 2190.83 769.671 3239.44 1568.72 2710.08 0.508085 1.60624 1.29989 1.53311 187.447 139.08 1036.68 719.697 0.838625        12.995 8.364
32  other      ethane    0 0 90 90 300 300 10 16.5 3 3 5 3 3 8 1 35 Aluminium Aluminium Lead 743.506 1418.94 5196.92 2375.65 803.319 3277.58 1674.48 2760.99 0.528817 1.63881 1.3794 1.55564 204.143 131.808 1043.54 724.241 0.861994         13.201 8.668
33  other      ethane    0 0 90 90 300 300 10 16.5 2 2 5 2 2 8 1 35 Steel Steel Lead 750.431 1535.46 5121.68 2405.38 801.29 3384.85 1711.11 2817.37 0.527179 1.70866 1.40121 1.60983 179.043 109.896 1046.78 723.738 0.875641                 12.799 7.878
